id ,name,primary_type,secondary_type,hp,attack,defense,special_attack,special_defense,speed,evolution,is_baby,is_legendary,is_mythical,is_mega,generation,species
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,['Ivysaur'],False,False,False,False,generation-i,Bulbasaur
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,['Venusaur'],False,False,False,False,generation-i,Ivysaur
3,Venusaur,Grass,Poison,80,82,83,100,100,80,[],False,False,False,False,generation-i,Venusaur
10033,Venusaur-Mega,Grass,Poison,80,100,123,122,120,80,[],False,False,False,True,generation-i,Venusaur
10195,Venusaur-Gmax,Grass,Poison,80,82,83,100,100,80,[],False,False,False,False,generation-i,Venusaur
4,Charmander,Fire,,39,52,43,60,50,65,['Charmeleon'],False,False,False,False,generation-i,Charmander
5,Charmeleon,Fire,,58,64,58,80,65,80,['Charizard'],False,False,False,False,generation-i,Charmeleon
6,Charizard,Fire,Flying,78,84,78,109,85,100,[],False,False,False,False,generation-i,Charizard
10034,Charizard-Mega-X,Fire,Dragon,78,130,111,130,85,100,[],False,False,False,True,generation-i,Charizard
10035,Charizard-Mega-Y,Fire,Flying,78,104,78,159,115,100,[],False,False,False,True,generation-i,Charizard
10196,Charizard-Gmax,Fire,Flying,78,84,78,109,85,100,[],False,False,False,False,generation-i,Charizard
7,Squirtle,Water,,44,48,65,50,64,43,['Wartortle'],False,False,False,False,generation-i,Squirtle
8,Wartortle,Water,,59,63,80,65,80,58,['Blastoise'],False,False,False,False,generation-i,Wartortle
9,Blastoise,Water,,79,83,100,85,105,78,[],False,False,False,False,generation-i,Blastoise
10036,Blastoise-Mega,Water,,79,103,120,135,115,78,[],False,False,False,True,generation-i,Blastoise
10197,Blastoise-Gmax,Water,,79,83,100,85,105,78,[],False,False,False,False,generation-i,Blastoise
10,Caterpie,Bug,,45,30,35,20,20,45,['Metapod'],False,False,False,False,generation-i,Caterpie
11,Metapod,Bug,,50,20,55,25,25,30,['Butterfree'],False,False,False,False,generation-i,Metapod
12,Butterfree,Bug,Flying,60,45,50,90,80,70,[],False,False,False,False,generation-i,Butterfree
10198,Butterfree-Gmax,Bug,Flying,60,45,50,90,80,70,[],False,False,False,False,generation-i,Butterfree
13,Weedle,Bug,Poison,40,35,30,20,20,50,['Kakuna'],False,False,False,False,generation-i,Weedle
14,Kakuna,Bug,Poison,45,25,50,25,25,35,['Beedrill'],False,False,False,False,generation-i,Kakuna
15,Beedrill,Bug,Poison,65,90,40,45,80,75,[],False,False,False,False,generation-i,Beedrill
10090,Beedrill-Mega,Bug,Poison,65,150,40,15,80,145,[],False,False,False,True,generation-i,Beedrill
16,Pidgey,Normal,Flying,40,45,40,35,35,56,['Pidgeotto'],False,False,False,False,generation-i,Pidgey
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,['Pidgeot'],False,False,False,False,generation-i,Pidgeotto
18,Pidgeot,Normal,Flying,83,80,75,70,70,101,[],False,False,False,False,generation-i,Pidgeot
10073,Pidgeot-Mega,Normal,Flying,83,80,80,135,80,121,[],False,False,False,True,generation-i,Pidgeot
19,Rattata,Normal,,30,56,35,25,35,72,['Raticate'],False,False,False,False,generation-i,Rattata
10091,Rattata-Alola,Dark,Normal,30,56,35,25,35,72,['Raticate'],False,False,False,False,generation-i,Rattata
20,Raticate,Normal,,55,81,60,50,70,97,[],False,False,False,False,generation-i,Raticate
10092,Raticate-Alola,Dark,Normal,75,71,70,40,80,77,[],False,False,False,False,generation-i,Raticate
10093,Raticate-Totem-Alola,Dark,Normal,75,71,70,40,80,77,[],False,False,False,False,generation-i,Raticate
21,Spearow,Normal,Flying,40,60,30,31,31,70,['Fearow'],False,False,False,False,generation-i,Spearow
22,Fearow,Normal,Flying,65,90,65,61,61,100,[],False,False,False,False,generation-i,Fearow
23,Ekans,Poison,,35,60,44,40,54,55,['Arbok'],False,False,False,False,generation-i,Ekans
24,Arbok,Poison,,60,95,69,65,79,80,[],False,False,False,False,generation-i,Arbok
25,Pikachu,Electric,,35,55,40,50,50,90,['Raichu'],False,False,False,False,generation-i,Pikachu
10080,Pikachu-Rock-Star,Electric,,35,55,40,50,50,90,['Raichu'],False,False,False,False,generation-i,Pikachu
10081,Pikachu-Belle,Electric,,35,55,40,50,50,90,['Raichu'],False,False,False,False,generation-i,Pikachu
10082,Pikachu-Pop-Star,Electric,,35,55,40,50,50,90,['Raichu'],False,False,False,False,generation-i,Pikachu
10083,Pikachu-Phd,Electric,,35,55,40,50,50,90,['Raichu'],False,False,False,False,generation-i,Pikachu
10084,Pikachu-Libre,Electric,,35,55,40,50,50,90,['Raichu'],False,False,False,False,generation-i,Pikachu
10085,Pikachu-Cosplay,Electric,,35,55,40,50,50,90,['Raichu'],False,False,False,False,generation-i,Pikachu
10094,Pikachu-Original-Cap,Electric,,35,55,40,50,50,90,['Raichu'],False,False,False,False,generation-i,Pikachu
10095,Pikachu-Hoenn-Cap,Electric,,35,55,40,50,50,90,['Raichu'],False,False,False,False,generation-i,Pikachu
10096,Pikachu-Sinnoh-Cap,Electric,,35,55,40,50,50,90,['Raichu'],False,False,False,False,generation-i,Pikachu
10097,Pikachu-Unova-Cap,Electric,,35,55,40,50,50,90,['Raichu'],False,False,False,False,generation-i,Pikachu
10098,Pikachu-Kalos-Cap,Electric,,35,55,40,50,50,90,['Raichu'],False,False,False,False,generation-i,Pikachu
10099,Pikachu-Alola-Cap,Electric,,35,55,40,50,50,90,['Raichu'],False,False,False,False,generation-i,Pikachu
10148,Pikachu-Partner-Cap,Electric,,35,55,40,50,50,90,['Raichu'],False,False,False,False,generation-i,Pikachu
10158,Pikachu-Starter,Electric,,45,80,50,75,60,120,['Raichu'],False,False,False,False,generation-i,Pikachu
10160,Pikachu-World-Cap,Electric,,35,55,40,50,50,90,['Raichu'],False,False,False,False,generation-i,Pikachu
10199,Pikachu-Gmax,Electric,,35,55,40,50,50,90,['Raichu'],False,False,False,False,generation-i,Pikachu
26,Raichu,Electric,,60,90,55,90,80,110,[],False,False,False,False,generation-i,Raichu
10100,Raichu-Alola,Electric,Psychic,60,85,50,95,85,110,[],False,False,False,False,generation-i,Raichu
10304,Raichu-Mega-X,Electric,,60,135,95,90,95,110,[],False,False,False,True,generation-i,Raichu
10305,Raichu-Mega-Y,Electric,,60,100,55,160,80,130,[],False,False,False,True,generation-i,Raichu
27,Sandshrew,Ground,,50,75,85,20,30,40,['Sandslash'],False,False,False,False,generation-i,Sandshrew
